#X, TAYLOR_SIN, SIN, ERRO_SIN, TAYLOR_COS, COS, ERRO_COS
-1.5 -0.8777125587 -0.9974949866 -0.1201 -0.3194977084 0.0707372017 -5.5167
-1.4 -0.8999954470 -0.9854497300 -0.0867 -0.1292510468 0.1699671429 -1.7604
-1.3 -0.9041660296 -0.9635581854 -0.0616 0.0428982017 0.2674988286 -0.8396
-1.2 -0.8919889797 -0.9320390860 -0.0430 0.1978521175 0.3623577545 -0.4540
-1.1 -0.8651388261 -0.8912073601 -0.0293 0.3365087779 0.4535961214 -0.2581
-1.0 -0.8252011432 -0.8414709848 -0.0193 0.4597467462 0.5403023059 -0.1491
-0.9 -0.7736752099 -0.7833269096 -0.0123 0.5684111921 0.6216099683 -0.0856
-0.8 -0.7119779779 -0.7173560909 -0.0075 0.6633015535 0.6967067093 -0.0479
-0.7 -0.6414492008 -0.6442176872 -0.0043 0.7451606567 0.7648421873 -0.0257
-0.6 -0.5633575820 -0.5646424734 -0.0023 0.8146652149 0.8253356149 -0.0129
-0.5 -0.4789078055 -0.4794255386 -0.0011 0.8724176313 0.8775825619 -0.0059
-0.4 -0.3892483258 -0.3894183423 -0.0004 0.9189390384 0.9210609940 -0.0023
-0.3 -0.2954797934 -0.2955202067 -0.0001 0.9546635141 0.9553364891 -0.0007
-0.2 -0.1986640025 -0.1986693308 -0.0000 0.9799334223 0.9800665778 -0.0001
-0.1 -0.0998332500 -0.0998334166 -0.0000 0.9949958347 0.9950041653 -0.0000
0.0 0.0000000000 0.0000000000 0.0000 1.0000000000 1.0000000000 0.0000
0.1 0.0998332500 0.0998334166 -0.0000 0.9949958347 0.9950041653 -0.0000
0.2 0.1986640025 0.1986693308 -0.0000 0.9799334223 0.9800665778 -0.0001
0.3 0.2954797934 0.2955202067 -0.0001 0.9546635141 0.9553364891 -0.0007
0.4 0.3892483258 0.3894183423 -0.0004 0.9189390384 0.9210609940 -0.0023
0.5 0.4789078055 0.4794255386 -0.0011 0.8724176313 0.8775825619 -0.0059
0.6 0.5633575820 0.5646424734 -0.0023 0.8146652149 0.8253356149 -0.0129
0.7 0.6414492008 0.6442176872 -0.0043 0.7451606567 0.7648421873 -0.0257
0.8 0.7119779779 0.7173560909 -0.0075 0.6633015535 0.6967067093 -0.0479
0.9 0.7736752099 0.7833269096 -0.0123 0.5684111921 0.6216099683 -0.0856
1.0 0.8252011432 0.8414709848 -0.0193 0.4597467462 0.5403023059 -0.1491
1.1 0.8651388261 0.8912073601 -0.0293 0.3365087779 0.4535961214 -0.2581
1.2 0.8919889797 0.9320390860 -0.0430 0.1978521175 0.3623577545 -0.4540
1.3 0.9041660296 0.9635581854 -0.0616 0.0428982017 0.2674988286 -0.8396
1.4 0.8999954470 0.9854497300 -0.0867 -0.1292510468 0.1699671429 -1.7604
1.5 0.8777125587 0.9974949866 -0.1201 -0.3194977084 0.0707372017 -5.5167
